Charge Amount,Bank,Place of Business
$1989.25,Wells Fargo,"Microsoft\n Store"
$1990.25,Bank of America,"Jack in\n the box"
$1991.25,Chase,"Mcdon\nalds"
$1992.25,Wells Fargo,"Wen\ndys"
$1993.25,Bank of America,"Apple\n Store"
$1994.25,Chase,"Microsoft\n Store"
$1995.25,Wells Fargo,"Jack in\n the box"
$1996.25,Bank of America,"Mcdon\nalds"
$1997.25,Chase,"Wen\ndys"
$1998.25,Wells Fargo,"Apple\n Store"
$1999.25,Bank of America,"Microsoft\n Store"
$2000.25,Chase,"Jack in\n the box"
$2001.25,Wells Fargo,"Mcdon\nalds"
$2002.25,Bank of America,"Wen\ndys"
$2003.25,Chase,"Apple\n Store"
$2004.25,Wells Fargo,"Microsoft\n Store"
$2005.25,Bank of America,"Jack in\n the box"
$2006.25,Chase,"Mcdon\nalds"
$2007.25,Wells Fargo,"Wen\ndys"
$2008.25,Bank of America,"Apple\n Store"
$2009.25,Chase,"Microsoft\n Store"
$2010.25,Wells Fargo,"Jack in\n the box"
$2011.25,Bank of America,"Mcdon\nalds"
$2012.25,Chase,"Wen\ndys"
$2013.25,Wells Fargo,"Apple\n Store"
$2014.25,Bank of America,"Microsoft\n Store"
$2015.25,Chase,"Jack in\n the box"
$2016.25,Wells Fargo,"Mcdon\nalds"
$2017.25,Bank of America,"Wen\ndys"
$2018.25,Chase,"Apple\n Store"
$2019.25,Wells Fargo,"Microsoft\n Store"
$2020.25,Bank of America,"Jack in\n the box"
$2021.25,Chase,"Mcdon\nalds"
$2022.25,Wells Fargo,"Wen\ndys"
$2023.25,Bank of America,"Apple\n Store"
$2024.25,Chase,"Microsoft\n Store"
$2025.25,Wells Fargo,"Jack in\n the box"
$2026.25,Bank of America,"Mcdon\nalds"
$2027.25,Chase,"Wen\ndys"
$2028.25,Wells Fargo,"Apple\n Store"
$2029.25,Bank of America,"Microsoft\n Store"
$2030.25,Chase,"Jack in\n the box"
$2031.25,Wells Fargo,"Mcdon\nalds"
$2032.25,Bank of America,"Wen\ndys"
$2033.25,Chase,"Apple\n Store"
$2034.25,Wells Fargo,"Microsoft\n Store"
$2035.25,Bank of America,"Jack in\n the box"
$2036.25,Chase,"Mcdon\nalds"
$2037.25,Wells Fargo,"Wen\ndys"
$2038.25,Bank of America,"Apple\n Store"
$2039.25,Chase,"Microsoft\n Store"
$2040.25,Wells Fargo,"Jack in\n the box"
$2041.25,Bank of America,"Mcdon\nalds"
$2042.25,Chase,"Wen\ndys"
$2043.25,Wells Fargo,"Apple\n Store"
$2044.25,Bank of America,"Microsoft\n Store"
$2045.25,Chase,"Jack in\n the box"
$2046.25,Wells Fargo,"Mcdon\nalds"
$2047.25,Bank of America,"Wen\ndys"
$2048.25,Chase,"Apple\n Store"
$2049.25,Wells Fargo,"Microsoft\n Store"
$2050.25,Bank of America,"Jack in\n the box"
$2051.25,Chase,"Mcdon\nalds"
$2052.25,Wells Fargo,"Wen\ndys"
$2053.25,Bank of America,"Apple\n Store"
$2054.25,Chase,"Microsoft\n Store"
$2055.25,Wells Fargo,"Jack in\n the box"
$2056.25,Bank of America,"Mcdon\nalds"
$2057.25,Chase,"Wen\ndys"
$2058.25,Wells Fargo,"Apple\n Store"
$2059.25,Bank of America,"Microsoft\n Store"
$2060.25,Chase,"Jack in\n the box"
$2061.25,Wells Fargo,"Mcdon\nalds"
$2062.25,Bank of America,"Wen\ndys"
$2063.25,Chase,"Apple\n Store"
$2064.25,Wells Fargo,"Microsoft\n Store"
$2065.25,Bank of America,"Jack in\n the box"
$2066.25,Chase,"Mcdon\nalds"
$2067.25,Wells Fargo,"Wen\ndys"
$2068.25,Bank of America,"Apple\n Store"
$2069.25,Chase,"Microsoft\n Store"
$2070.25,Wells Fargo,"Jack in\n the box"
$2071.25,Bank of America,"Mcdon\nalds"
$2072.25,Chase,"Wen\ndys"
$2073.25,Wells Fargo,"Apple\n Store"
$2074.25,Bank of America,"Microsoft\n Store"
$2075.25,Chase,"Jack in\n the box"
$2076.25,Wells Fargo,"Mcdon\nalds"
$2077.25,Bank of America,"Wen\ndys"
$2078.25,Chase,"Apple\n Store"
$2079.25,Wells Fargo,"Microsoft\n Store"
$2080.25,Bank of America,"Jack in\n the box"
$2081.25,Chase,"Mcdon\nalds"
$2082.25,Wells Fargo,"Wen\ndys"
$2083.25,Bank of America,"Apple\n Store"
$2084.25,Chase,"Microsoft\n Store"
$2085.25,Wells Fargo,"Jack in\n the box"
$2086.25,Bank of America,"Mcdon\nalds"
$2087.25,Chase,"Wen\ndys"
$2088.25,Wells Fargo,"Apple\n Store"
$2089.25,Bank of America,"Microsoft\n Store"
$2090.25,Chase,"Jack in\n the box"
$2091.25,Wells Fargo,"Mcdon\nalds"
$2092.25,Bank of America,"Wen\ndys"
$2093.25,Chase,"Apple\n Store"
$2094.25,Wells Fargo,"Microsoft\n Store"
$2095.25,Bank of America,"Jack in\n the box"
$2096.25,Chase,"Mcdon\nalds"
$2097.25,Wells Fargo,"Wen\ndys"
$2098.25,Bank of America,"Apple\n Store"
$2099.25,Chase,"Microsoft\n Store"
$2100.25,Wells Fargo,"Jack in\n the box"
$2101.25,Bank of America,"Mcdon\nalds"
$2102.25,Chase,"Wen\ndys"
$2103.25,Wells Fargo,"Apple\n Store"
$2104.25,Bank of America,"Microsoft\n Store"
$2105.25,Chase,"Jack in\n the box"
$2106.25,Wells Fargo,"Mcdon\nalds"
$2107.25,Bank of America,"Wen\ndys"
$2108.25,Chase,"Apple\n Store"
$2109.25,Wells Fargo,"Microsoft\n Store"
$2110.25,Bank of America,"Jack in\n the box"
$2111.25,Chase,"Mcdon\nalds"
$2112.25,Wells Fargo,"Wen\ndys"
$2113.25,Bank of America,"Apple\n Store"
$2114.25,Chase,"Microsoft\n Store"
$2115.25,Wells Fargo,"Jack in\n the box"
$2116.25,Bank of America,"Mcdon\nalds"
$2117.25,Chase,"Wen\ndys"
$2118.25,Wells Fargo,"Apple\n Store"
$2119.25,Bank of America,"Microsoft\n Store"
$2120.25,Chase,"Jack in\n the box"
$2121.25,Wells Fargo,"Mcdon\nalds"
$2122.25,Bank of America,"Wen\ndys"
$2123.25,Chase,"Apple\n Store"
$2124.25,Wells Fargo,"Microsoft\n Store"
$2125.25,Bank of America,"Jack in\n the box"
$2126.25,Chase,"Mcdon\nalds"
$2127.25,Wells Fargo,"Wen\ndys"
$2128.25,Bank of America,"Apple\n Store"
$2129.25,Chase,"Microsoft\n Store"
$2130.25,Wells Fargo,"Jack in\n the box"
$2131.25,Bank of America,"Mcdon\nalds"
$2132.25,Chase,"Wen\ndys"
$2133.25,Wells Fargo,"Apple\n Store"
$2134.25,Bank of America,"Microsoft\n Store"
$2135.25,Chase,"Jack in\n the box"
$2136.25,Wells Fargo,"Mcdon\nalds"
$2137.25,Bank of America,"Wen\ndys"
$2138.25,Chase,"Apple\n Store"
$2139.25,Wells Fargo,"Microsoft\n Store"
$2140.25,Bank of America,"Jack in\n the box"
$2141.25,Chase,"Mcdon\nalds"
$2142.25,Wells Fargo,"Wen\ndys"
$2143.25,Bank of America,"Apple\n Store"
$2144.25,Chase,"Microsoft\n Store"
$2145.25,Wells Fargo,"Jack in\n the box"
$2146.25,Bank of America,"Mcdon\nalds"
$2147.25,Chase,"Wen\ndys"
$2148.25,Wells Fargo,"Apple\n Store"
$2149.25,Bank of America,"Microsoft\n Store"
$2150.25,Chase,"Jack in\n the box"
$2151.25,Wells Fargo,"Mcdon\nalds"
$2152.25,Bank of America,"Wen\ndys"
$2153.25,Chase,"Apple\n Store"
$2154.25,Wells Fargo,"Microsoft\n Store"
$2155.25,Bank of America,"Jack in\n the box"
$2156.25,Chase,"Mcdon\nalds"
$2157.25,Wells Fargo,"Wen\ndys"
$2158.25,Bank of America,"Apple\n Store"
$2159.25,Chase,"Microsoft\n Store"
$2160.25,Wells Fargo,"Jack in\n the box"
$2161.25,Bank of America,"Mcdon\nalds"
$2162.25,Chase,"Wen\ndys"
$2163.25,Wells Fargo,"Apple\n Store"
$2164.25,Bank of America,"Microsoft\n Store"
$2165.25,Chase,"Jack in\n the box"
$2166.25,Wells Fargo,"Mcdon\nalds"
$2167.25,Bank of America,"Wen\ndys"
$2168.25,Chase,"Apple\n Store"
$2169.25,Wells Fargo,"Microsoft\n Store"
$2170.25,Bank of America,"Jack in\n the box"
$2171.25,Chase,"Mcdon\nalds"
$2172.25,Wells Fargo,"Wen\ndys"
$2173.25,Bank of America,"Apple\n Store"
$2174.25,Chase,"Microsoft\n Store"
$2175.25,Wells Fargo,"Jack in\n the box"
$2176.25,Bank of America,"Mcdon\nalds"
$2177.25,Chase,"Wen\ndys"
$2178.25,Wells Fargo,"Apple\n Store"
$2179.25,Bank of America,"Microsoft\n Store"
$2180.25,Chase,"Jack in\n the box"
$2181.25,Wells Fargo,"Mcdon\nalds"
$2182.25,Bank of America,"Wen\ndys"
$2183.25,Chase,"Apple\n Store"
$2184.25,Wells Fargo,"Microsoft\n Store"
$2185.25,Bank of America,"Jack in\n the box"
$2186.25,Chase,"Mcdon\nalds"
$2187.25,Wells Fargo,"Wen\ndys"
$2188.25,Bank of America,"Apple\n Store"
$2189.25,Chase,"Microsoft\n Store"
$2190.25,Wells Fargo,"Jack in\n the box"
$2191.25,Bank of America,"Mcdon\nalds"
$2192.25,Chase,"Wen\ndys"
$2193.25,Wells Fargo,"Apple\n Store"
$2194.25,Bank of America,"Microsoft\n Store"
$2195.25,Chase,"Jack in\n the box"
$2196.25,Wells Fargo,"Mcdon\nalds"
$2197.25,Bank of America,"Wen\ndys"
$2198.25,Chase,"Apple\n Store"
$2199.25,Wells Fargo,"Microsoft\n Store"
$2200.25,Bank of America,"Jack in\n the box"
$2201.25,Chase,"Mcdon\nalds"
$2202.25,Wells Fargo,"Wen\ndys"
$2203.25,Bank of America,"Apple\n Store"
$2204.25,Chase,"Microsoft\n Store"
$2205.25,Wells Fargo,"Jack in\n the box"
$2206.25,Bank of America,"Mcdon\nalds"
$2207.25,Chase,"Wen\ndys"
$2208.25,Wells Fargo,"Apple\n Store"
$2209.25,Bank of America,"Microsoft\n Store"
$2210.25,Chase,"Jack in\n the box"
$2211.25,Wells Fargo,"Mcdon\nalds"
$2212.25,Bank of America,"Wen\ndys"
$2213.25,Chase,"Apple\n Store"
$2214.25,Wells Fargo,"Microsoft\n Store"
$2215.25,Bank of America,"Jack in\n the box"
$2216.25,Chase,"Mcdon\nalds"
$2217.25,Wells Fargo,"Wen\ndys"
$2218.25,Bank of America,"Apple\n Store"
$2219.25,Chase,"Microsoft\n Store"
$2220.25,Wells Fargo,"Jack in\n the box"
$2221.25,Bank of America,"Mcdon\nalds"
$2222.25,Chase,"Wen\ndys"
$2223.25,Wells Fargo,"Apple\n Store"
$2224.25,Bank of America,"Microsoft\n Store"
$2225.25,Chase,"Jack in\n the box"
$2226.25,Wells Fargo,"Mcdon\nalds"
$2227.25,Bank of America,"Wen\ndys"
$2228.25,Chase,"Apple\n Store"
$2229.25,Wells Fargo,"Microsoft\n Store"
$2230.25,Bank of America,"Jack in\n the box"
$2231.25,Chase,"Mcdon\nalds"
$2232.25,Wells Fargo,"Wen\ndys"
$2233.25,Bank of America,"Apple\n Store"
$2234.25,Chase,"Microsoft\n Store"
$2235.25,Wells Fargo,"Jack in\n the box"
$2236.25,Bank of America,"Mcdon\nalds"
$2237.25,Chase,"Wen\ndys"
$2238.25,Wells Fargo,"Apple\n Store"
$2239.25,Bank of America,"Microsoft\n Store"
$2240.25,Chase,"Jack in\n the box"
$2241.25,Wells Fargo,"Mcdon\nalds"
$2242.25,Bank of America,"Wen\ndys"
$2243.25,Chase,"Apple\n Store"
$2244.25,Wells Fargo,"Microsoft\n Store"
$2245.25,Bank of America,"Jack in\n the box"
$2246.25,Chase,"Mcdon\nalds"
$2247.25,Wells Fargo,"Wen\ndys"
$2248.25,Bank of America,"Apple\n Store"
$2249.25,Chase,"Microsoft\n Store"
$2250.25,Wells Fargo,"Jack in\n the box"
$2251.25,Bank of America,"Mcdon\nalds"
$2252.25,Chase,"Wen\ndys"
$2253.25,Wells Fargo,"Apple\n Store"
$2254.25,Bank of America,"Microsoft\n Store"
$2255.25,Chase,"Jack in\n the box"
$2256.25,Wells Fargo,"Mcdon\nalds"
$2257.25,Bank of America,"Wen\ndys"
$2258.25,Chase,"Apple\n Store"
$2259.25,Wells Fargo,"Microsoft\n Store"
$2260.25,Bank of America,"Jack in\n the box"
$2261.25,Chase,"Mcdon\nalds"
$2262.25,Wells Fargo,"Wen\ndys"
$2263.25,Bank of America,"Apple\n Store"
$2264.25,Chase,"Microsoft\n Store"
$2265.25,Wells Fargo,"Jack in\n the box"
$2266.25,Bank of America,"Mcdon\nalds"
$2267.25,Chase,"Wen\ndys"
$2268.25,Wells Fargo,"Apple\n Store"
$2269.25,Bank of America,"Microsoft\n Store"
$2270.25,Chase,"Jack in\n the box"
$2271.25,Wells Fargo,"Mcdon\nalds"
$2272.25,Bank of America,"Wen\ndys"
$2273.25,Chase,"Apple\n Store"
$2274.25,Wells Fargo,"Microsoft\n Store"
$2275.25,Bank of America,"Jack in\n the box"
$2276.25,Chase,"Mcdon\nalds"
$2277.25,Wells Fargo,"Wen\ndys"
$2278.25,Bank of America,"Apple\n Store"
$2279.25,Chase,"Microsoft\n Store"
$2280.25,Wells Fargo,"Jack in\n the box"
$2281.25,Bank of America,"Mcdon\nalds"
$2282.25,Chase,"Wen\ndys"
$2283.25,Wells Fargo,"Apple\n Store"
$2284.25,Bank of America,"Microsoft\n Store"
$2285.25,Chase,"Jack in\n the box"
$2286.25,Wells Fargo,"Mcdon\nalds"
$2287.25,Bank of America,"Wen\ndys"
$2288.25,Chase,"Apple\n Store"
$2289.25,Wells Fargo,"Microsoft\n Store"
$2290.25,Bank of America,"Jack in\n the box"
$2291.25,Chase,"Mcdon\nalds"
$2292.25,Wells Fargo,"Wen\ndys"
$2293.25,Bank of America,"Apple\n Store"
$2294.25,Chase,"Microsoft\n Store"
$2295.25,Wells Fargo,"Jack in\n the box"
$2296.25,Bank of America,"Mcdon\nalds"
$2297.25,Chase,"Wen\ndys"
$2298.25,Wells Fargo,"Apple\n Store"
$2299.25,Bank of America,"Microsoft\n Store"
$2300.25,Chase,"Jack in\n the box"
$2301.25,Wells Fargo,"Mcdon\nalds"
$2302.25,Bank of America,"Wen\ndys"
$2303.25,Chase,"Apple\n Store"
$2304.25,Wells Fargo,"Microsoft\n Store"
$2305.25,Bank of America,"Jack in\n the box"
$2306.25,Chase,"Mcdon\nalds"
$2307.25,Wells Fargo,"Wen\ndys"
$2308.25,Bank of America,"Apple\n Store"
$2309.25,Chase,"Microsoft\n Store"
$2310.25,Wells Fargo,"Jack in\n the box"
$2311.25,Bank of America,"Mcdon\nalds"
$2312.25,Chase,"Wen\ndys"
$2313.25,Wells Fargo,"Apple\n Store"
$2314.25,Bank of America,"Microsoft\n Store"
$2315.25,Chase,"Jack in\n the box"
$2316.25,Wells Fargo,"Mcdon\nalds"
$2317.25,Bank of America,"Wen\ndys"
$2318.25,Chase,"Apple\n Store"
$2319.25,Wells Fargo,"Microsoft\n Store"
$2320.25,Bank of America,"Jack in\n the box"
$2321.25,Chase,"Mcdon\nalds"
$2322.25,Wells Fargo,"Wen\ndys"
$2323.25,Bank of America,"Apple\n Store"
$2324.25,Chase,"Microsoft\n Store"
$2325.25,Wells Fargo,"Jack in\n the box"
$2326.25,Bank of America,"Mcdon\nalds"
$2327.25,Chase,"Wen\ndys"
$2328.25,Wells Fargo,"Apple\n Store"
$2329.25,Bank of America,"Microsoft\n Store"
$2330.25,Chase,"Jack in\n the box"
$2331.25,Wells Fargo,"Mcdon\nalds"
$2332.25,Bank of America,"Wen\ndys"
$2333.25,Chase,"Apple\n Store"
$2334.25,Wells Fargo,"Microsoft\n Store"
$2335.25,Bank of America,"Jack in\n the box"
$2336.25,Chase,"Mcdon\nalds"
$2337.25,Wells Fargo,"Wen\ndys"
$2338.25,Bank of America,"Apple\n Store"
$2339.25,Chase,"Microsoft\n Store"
$2340.25,Wells Fargo,"Jack in\n the box"
$2341.25,Bank of America,"Mcdon\nalds"
$2342.25,Chase,"Wen\ndys"
$2343.25,Wells Fargo,"Apple\n Store"
$2344.25,Bank of America,"Microsoft\n Store"
$2345.25,Chase,"Jack in\n the box"
$2346.25,Wells Fargo,"Mcdon\nalds"
$2347.25,Bank of America,"Wen\ndys"
$2348.25,Chase,"Apple\n Store"
$2349.25,Wells Fargo,"Microsoft\n Store"
$2350.25,Bank of America,"Jack in\n the box"
$2351.25,Chase,"Mcdon\nalds"
$2352.25,Wells Fargo,"Wen\ndys"
$2353.25,Bank of America,"Apple\n Store"
$2354.25,Chase,"Microsoft\n Store"
$2355.25,Wells Fargo,"Jack in\n the box"
$2356.25,Bank of America,"Mcdon\nalds"
$2357.25,Chase,"Wen\ndys"
$2358.25,Wells Fargo,"Apple\n Store"
$2359.25,Bank of America,"Microsoft\n Store"
$2360.25,Chase,"Jack in\n the box"
$2361.25,Wells Fargo,"Mcdon\nalds"
$2362.25,Bank of America,"Wen\ndys"
$2363.25,Chase,"Apple\n Store"
$2364.25,Wells Fargo,"Microsoft\n Store"
$2365.25,Bank of America,"Jack in\n the box"
$2366.25,Chase,"Mcdon\nalds"
$2367.25,Wells Fargo,"Wen\ndys"
$2368.25,Bank of America,"Apple\n Store"
$2369.25,Chase,"Microsoft\n Store"
$2370.25,Wells Fargo,"Jack in\n the box"
$2371.25,Bank of America,"Mcdon\nalds"
$2372.25,Chase,"Wen\ndys"
$2373.25,Wells Fargo,"Apple\n Store"
$2374.25,Bank of America,"Microsoft\n Store"
$2375.25,Chase,"Jack in\n the box"
$2376.25,Wells Fargo,"Mcdon\nalds"
$2377.25,Bank of America,"Wen\ndys"
$2378.25,Chase,"Apple\n Store"
$2379.25,Wells Fargo,"Microsoft\n Store"
$2380.25,Bank of America,"Jack in\n the box"
$2381.25,Chase,"Mcdon\nalds"
$2382.25,Wells Fargo,"Wen\ndys"
$2383.25,Bank of America,"Apple\n Store"
$2384.25,Chase,"Microsoft\n Store"
$2385.25,Wells Fargo,"Jack in\n the box"
$2386.25,Bank of America,"Mcdon\nalds"
$2387.25,Chase,"Wen\ndys"
$2388.25,Wells Fargo,"Apple\n Store"
$2389.25,Bank of America,"Microsoft\n Store"
$2390.25,Chase,"Jack in\n the box"
$2391.25,Wells Fargo,"Mcdon\nalds"
$2392.25,Bank of America,"Wen\ndys"
$2393.25,Chase,"Apple\n Store"
$2394.25,Wells Fargo,"Microsoft\n Store"
$2395.25,Bank of America,"Jack in\n the box"
$2396.25,Chase,"Mcdon\nalds"
$2397.25,Wells Fargo,"Wen\ndys"
$2398.25,Bank of America,"Apple\n Store"
$2399.25,Chase,"Microsoft\n Store"
$2400.25,Wells Fargo,"Jack in\n the box"
$2401.25,Bank of America,"Mcdon\nalds"
$2402.25,Chase,"Wen\ndys"
$2403.25,Wells Fargo,"Apple\n Store"
$2404.25,Bank of America,"Microsoft\n Store"
$2405.25,Chase,"Jack in\n the box"
$2406.25,Wells Fargo,"Mcdon\nalds"
$2407.25,Bank of America,"Wen\ndys"
$2408.25,Chase,"Apple\n Store"
$2409.25,Wells Fargo,"Microsoft\n Store"
$2410.25,Bank of America,"Jack in\n the box"
$2411.25,Chase,"Mcdon\nalds"
$2412.25,Wells Fargo,"Wen\ndys"
$2413.25,Bank of America,"Apple\n Store"
$2414.25,Chase,"Microsoft\n Store"
$2415.25,Wells Fargo,"Jack in\n the box"
$2416.25,Bank of America,"Mcdon\nalds"
$2417.25,Chase,"Wen\ndys"
$2418.25,Wells Fargo,"Apple\n Store"
$2419.25,Bank of America,"Microsoft\n Store"
$2420.25,Chase,"Jack in\n the box"
$2421.25,Wells Fargo,"Mcdon\nalds"
$2422.25,Bank of America,"Wen\ndys"
$2423.25,Chase,"Apple\n Store"
$2424.25,Wells Fargo,"Microsoft\n Store"
$2425.25,Bank of America,"Jack in\n the box"
$2426.25,Chase,"Mcdon\nalds"
$2427.25,Wells Fargo,"Wen\ndys"
$2428.25,Bank of America,"Apple\n Store"
$2429.25,Chase,"Microsoft\n Store"
$2430.25,Wells Fargo,"Jack in\n the box"
$2431.25,Bank of America,"Mcdon\nalds"
$2432.25,Chase,"Wen\ndys"
$2433.25,Wells Fargo,"Apple\n Store"
$2434.25,Bank of America,"Microsoft\n Store"
$2435.25,Chase,"Jack in\n the box"
$2436.25,Wells Fargo,"Mcdon\nalds"
$2437.25,Bank of America,"Wen\ndys"
$2438.25,Chase,"Apple\n Store"
$2439.25,Wells Fargo,"Microsoft\n Store"
$2440.25,Bank of America,"Jack in\n the box"
$2441.25,Chase,"Mcdon\nalds"
$2442.25,Wells Fargo,"Wen\ndys"
$2443.25,Bank of America,"Apple\n Store"
$2444.25,Chase,"Microsoft\n Store"
$2445.25,Wells Fargo,"Jack in\n the box"
$2446.25,Bank of America,"Mcdon\nalds"
$2447.25,Chase,"Wen\ndys"
$2448.25,Wells Fargo,"Apple\n Store"
$2449.25,Bank of America,"Microsoft\n Store"
$2450.25,Chase,"Jack in\n the box"
$2451.25,Wells Fargo,"Mcdon\nalds"
$2452.25,Bank of America,"Wen\ndys"
$2453.25,Chase,"Apple\n Store"
$2454.25,Wells Fargo,"Microsoft\n Store"
$2455.25,Bank of America,"Jack in\n the box"
$2456.25,Chase,"Mcdon\nalds"
$2457.25,Wells Fargo,"Wen\ndys"
$2458.25,Bank of America,"Apple\n Store"
$2459.25,Chase,"Microsoft\n Store"
$2460.25,Wells Fargo,"Jack in\n the box"
$2461.25,Bank of America,"Mcdon\nalds"
$2462.25,Chase,"Wen\ndys"
$2463.25,Wells Fargo,"Apple\n Store"
$2464.25,Bank of America,"Microsoft\n Store"
$2465.25,Chase,"Jack in\n the box"
$2466.25,Wells Fargo,"Mcdon\nalds"
$2467.25,Bank of America,"Wen\ndys"
$2468.25,Chase,"Apple\n Store"
$2469.25,Wells Fargo,"Microsoft\n Store"
$2470.25,Bank of America,"Jack in\n the box"
$2471.25,Chase,"Mcdon\nalds"
$2472.25,Wells Fargo,"Wen\ndys"
$2473.25,Bank of America,"Apple\n Store"
$2474.25,Chase,"Microsoft\n Store"
$2475.25,Wells Fargo,"Jack in\n the box"
$2476.25,Bank of America,"Mcdon\nalds"
$2477.25,Chase,"Wen\ndys"
$2478.25,Wells Fargo,"Apple\n Store"
$2479.25,Bank of America,"Microsoft\n Store"
$2480.25,Chase,"Jack in\n the box"
$2481.25,Wells Fargo,"Mcdon\nalds"
$2482.25,Bank of America,"Wen\ndys"
$2483.25,Chase,"Apple\n Store"
$2484.25,Wells Fargo,"Microsoft\n Store"
$2485.25,Bank of America,"Jack in\n the box"
$2486.25,Chase,"Mcdon\nalds"
$2487.25,Wells Fargo,"Wen\ndys"
$2488.25,Bank of America,"Apple\n Store"
$2489.25,Chase,"Microsoft\n Store"
$2490.25,Wells Fargo,"Jack in\n the box"
$2491.25,Bank of America,"Mcdon\nalds"
$2492.25,Chase,"Wen\ndys"
$2493.25,Wells Fargo,"Apple\n Store"
$2494.25,Bank of America,"Microsoft\n Store"
$2495.25,Chase,"Jack in\n the box"
$2496.25,Wells Fargo,"Mcdon\nalds"
$2497.25,Bank of America,"Wen\ndys"
$2498.25,Chase,"Apple\n Store"
$2499.25,Wells Fargo,"Microsoft\n Store"
$2500.25,Bank of America,"Jack in\n the box"
$2501.25,Chase,"Mcdon\nalds"
$2502.25,Wells Fargo,"Wen\ndys"
$2503.25,Bank of America,"Apple\n Store"
$2504.25,Chase,"Microsoft\n Store"
$2505.25,Wells Fargo,"Jack in\n the box"
$2506.25,Bank of America,"Mcdon\nalds"
$2507.25,Chase,"Wen\ndys"
$2508.25,Wells Fargo,"Apple\n Store"
$2509.25,Bank of America,"Microsoft\n Store"
$2510.25,Chase,"Jack in\n the box"
$2511.25,Wells Fargo,"Mcdon\nalds"
$2512.25,Bank of America,"Wen\ndys"
$2513.25,Chase,"Apple\n Store"
$2514.25,Wells Fargo,"Microsoft\n Store"
$2515.25,Bank of America,"Jack in\n the box"
$2516.25,Chase,"Mcdon\nalds"
$2517.25,Wells Fargo,"Wen\ndys"
$2518.25,Bank of America,"Apple\n Store"
$2519.25,Chase,"Microsoft\n Store"
$2520.25,Wells Fargo,"Jack in\n the box"
$2521.25,Bank of America,"Mcdon\nalds"
$2522.25,Chase,"Wen\ndys"
$2523.25,Wells Fargo,"Apple\n Store"
$2524.25,Bank of America,"Microsoft\n Store"
$2525.25,Chase,"Jack in\n the box"
$2526.25,Wells Fargo,"Mcdon\nalds"
$2527.25,Bank of America,"Wen\ndys"
$2528.25,Chase,"Apple\n Store"
$2529.25,Wells Fargo,"Microsoft\n Store"
$2530.25,Bank of America,"Jack in\n the box"
$2531.25,Chase,"Mcdon\nalds"
$2532.25,Wells Fargo,"Wen\ndys"
$2533.25,Bank of America,"Apple\n Store"
$2534.25,Chase,"Microsoft\n Store"
$2535.25,Wells Fargo,"Jack in\n the box"
$2536.25,Bank of America,"Mcdon\nalds"
$2537.25,Chase,"Wen\ndys"
$2538.25,Wells Fargo,"Apple\n Store"
$2539.25,Bank of America,"Microsoft\n Store"
$2540.25,Chase,"Jack in\n the box"
$2541.25,Wells Fargo,"Mcdon\nalds"
$2542.25,Bank of America,"Wen\ndys"
$2543.25,Chase,"Apple\n Store"
$2544.25,Wells Fargo,"Microsoft\n Store"
$2545.25,Bank of America,"Jack in\n the box"
$2546.25,Chase,"Mcdon\nalds"
$2547.25,Wells Fargo,"Wen\ndys"
$2548.25,Bank of America,"Apple\n Store"
$2549.25,Chase,"Microsoft\n Store"
$2550.25,Wells Fargo,"Jack in\n the box"
$2551.25,Bank of America,"Mcdon\nalds"
$2552.25,Chase,"Wen\ndys"
$2553.25,Wells Fargo,"Apple\n Store"
$2554.25,Bank of America,"Microsoft\n Store"
$2555.25,Chase,"Jack in\n the box"
$2556.25,Wells Fargo,"Mcdon\nalds"
$2557.25,Bank of America,"Wen\ndys"
$2558.25,Chase,"Apple\n Store"
$2559.25,Wells Fargo,"Microsoft\n Store"
$2560.25,Bank of America,"Jack in\n the box"
$2561.25,Chase,"Mcdon\nalds"
$2562.25,Wells Fargo,"Wen\ndys"
$2563.25,Bank of America,"Apple\n Store"
$2564.25,Chase,"Microsoft\n Store"
$2565.25,Wells Fargo,"Jack in\n the box"
$2566.25,Bank of America,"Mcdon\nalds"
$2567.25,Chase,"Wen\ndys"
$2568.25,Wells Fargo,"Apple\n Store"
$2569.25,Bank of America,"Microsoft\n Store"
$2570.25,Chase,"Jack in\n the box"
$2571.25,Wells Fargo,"Mcdon\nalds"
$2572.25,Bank of America,"Wen\ndys"
$2573.25,Chase,"Apple\n Store"
$2574.25,Wells Fargo,"Microsoft\n Store"
$2575.25,Bank of America,"Jack in\n the box"
$2576.25,Chase,"Mcdon\nalds"
$2577.25,Wells Fargo,"Wen\ndys"
$2578.25,Bank of America,"Apple\n Store"
$2579.25,Chase,"Microsoft\n Store"
$2580.25,Wells Fargo,"Jack in\n the box"
$2581.25,Bank of America,"Mcdon\nalds"
$2582.25,Chase,"Wen\ndys"
$2583.25,Wells Fargo,"Apple\n Store"
$2584.25,Bank of America,"Microsoft\n Store"
$2585.25,Chase,"Jack in\n the box"
$2586.25,Wells Fargo,"Mcdon\nalds"
$2587.25,Bank of America,"Wen\ndys"
$2588.25,Chase,"Apple\n Store"
$2589.25,Wells Fargo,"Microsoft\n Store"
$2590.25,Bank of America,"Jack in\n the box"
$2591.25,Chase,"Mcdon\nalds"
$2592.25,Wells Fargo,"Wen\ndys"
$2593.25,Bank of America,"Apple\n Store"
$2594.25,Chase,"Microsoft\n Store"
$2595.25,Wells Fargo,"Jack in\n the box"
